FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,jeff,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,jeff2,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,Checked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,UnChecked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
133774c002ca428e454dd5b186c5fad8505eedac16e194c16bea7f2c2d7846bfcaf81, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Bologna,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,OSCARS,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,Checked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
13377d68071da03ea72a5e303ccfc44c81761bb11630eb4a9dcb7f980339dfc44b68a, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Bob,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,Smith,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,Checked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
13377600ed8bb48fd573db84c3041e0166d452cdc728ea5ccbc519e5c4d1a6e424e11, 1,1/16/2025 9:32 AM,1/16/2025 9:35 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,oscar,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,meyer,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
13377ddc5af2099ccb68d7c63b46511c432c665e5d86ae92506a33e66ceee680c841e, 1,1/16/2025 9:31 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
13377788d0cedc7e6382938b92ab9472d7eb76cae7a61b3cf354d1038e9641022163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
13377788d0cedc7e6382938b92ab9472d7eb76cae7a61b3cf354d1038e9641022163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
13377788d0cedc7e6382938b92ab9472d7eb76cae7a61b3cf354d1038e9641022163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
13377788d0cedc7e6382938b92ab9472d7eb76cae7a61b3cf354d1038e9641022163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
13377788d0cedc7e6382938b92ab9472d7eb76cae7a61b3cf354d1038e9641022163d, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
